店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
津の国屋　ボンクリス,柴原阪大前駅 569m,和菓子、ケーキ,,3.08,12,137,-,-,大阪府豊中市柴原町3丁目11-10
Ritz pancake,柴原阪大前駅 503m,カフェ,,3.08,8,308,-,"￥1,000～￥1,999",大阪府豊中市柴原町2-1-21
喫茶グリーン,柴原阪大前駅 123m,喫茶店,,3,2,14,-,-,大阪府豊中市柴原町4-14-1 市立豊中病院 1F
市立豊中病院売店,柴原阪大前駅 217m,ケーキ,,3.01,1,14,-,-,大阪府豊中市柴原町4-14-1 市立豊中病院 1F
とんかつ かつ喜 豊中南店,豊中市,とんかつ,,3.06,38,298,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市島江町1-3-29
御菓子司 春月堂,豊中市,和菓子,,3,4,6,-,-,大阪府豊中市島江町1-3-1
喫茶サン,豊中市,喫茶店,,3.02,1,5,-,-,大阪府豊中市島江町1-3-14
サーバ 豊中島江店,豊中市,その他,,3,1,2,-,-,大阪府豊中市島江町1-1-22
ファミリーマート 豊中島江町店,豊中市,コンビニ・スーパー,,3,3,8,-,-,大阪府豊中市島江町1-2-18
かに道楽 豊中店,少路（大阪モノレール）駅 361m,かに、日本料理、海鮮,【少路駅5分】ゆったりとした和空間×「かにすき」をはじめとした自慢のかに料理でおもてなし,3.17,105,834,"￥6,000～￥7,999","￥3,000～￥3,999",大阪府豊中市少路1-1-5
うな豊 豊中本店,少路（大阪モノレール）駅 132m,うなぎ、海鮮、日本料理,備長炭で香ばしく焼き上げる、仕込みからこだわった関西風うなぎと種類豊富な一品料理に舌鼓。,3.29,113,2031,"￥4,000～￥4,999","￥3,000～￥3,999",大阪府豊中市少路1-10-15
香樹,少路（大阪モノレール）駅 283m,スープカレー、カレー、カフェ,【豊中/小路】薬膳石鍋スープカレー専門店。１９種類のスパイスが奏でるハーモニー。,3.46,184,7071,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市少路2-9-18
まん福ベーカリー 豊中店,少路（大阪モノレール）駅 356m,パン,,3.44,69,1708,-,-,大阪府豊中市少路2-10-5
ダンクブロート 豊中少路店,少路（大阪モノレール）駅 158m,パン,,3.07,11,230,-,～￥999,大阪府豊中市少路1-11-20
Le Grignotage,少路（大阪モノレール）駅 157m,ケーキ,,3.1,12,290,-,-,大阪府豊中市少路1-11-20 少路パークレジデンス
TOIRONIみらいたべる食堂,少路（大阪モノレール）駅 296m,カフェ,,,6,,-,-,大阪府豊中市少路2-9-20 さわらぎ産科婦人科豊中少路クリニック 1F
なか卯 豊中少路店,少路（大阪モノレール）駅 279m,牛丼、親子丼、うどん,,3.03,29,127,～￥999,-,大阪府豊中市少路1-460-1
カフェスイーツ ムッシュ マキノ,少路（大阪モノレール）駅 367m,ケーキ、カフェ,,3.48,177,4595,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市少路2-10-27
ファミリーマート 豊中少路二丁目店,少路（大阪モノレール）駅 284m,コンビニ・スーパー,,3.02,1,1,-,-,大阪府豊中市少路2-4-3
BUTTER,少路（大阪モノレール）駅 273m,クレープ・ガレット、バー,,3.24,24,619,"￥2,000～￥2,999",～￥999,大阪府豊中市少路2-3-17
ステーキハウス神楽 豊中店,少路（大阪モノレール）駅 330m,ステーキ、鉄板焼き、日本料理,【電話予約のみ受付中】週末はご予約が集中する為、事前にご予約をお願い致します♪,3.28,83,3248,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府豊中市少路2-8-13
松のや 少路店,少路（大阪モノレール）駅 377m,とんかつ、かつ丼,,3.05,27,136,～￥999,～￥999,大阪府豊中市少路1-2-1
阪急オアシス ケーキコーナー 豊中少路店,少路（大阪モノレール）駅 290m,ケーキ,,3.01,1,11,-,-,大阪府豊中市少路2-4-8
ピノキオ 豊中店,少路（大阪モノレール）駅 368m,喫茶店,,3.08,82,750,"￥1,000～￥1,999",～￥999,大阪府豊中市少路2-7-105-1
和食しゃぶしゃぶ かごの屋 豊中少路店,少路（大阪モノレール）駅 365m,日本料理、しゃぶしゃぶ、ビュッフェ,,3.06,48,488,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市少路1-1-38
サーティワンアイスクリーム 豊中ロマンチック街道店,少路（大阪モノレール）駅 364m,ジェラート・アイスクリーム,,3.05,21,110,～￥999,-,大阪府豊中市少路2-3038
Kitchen EDYH,庄内駅 571m,イタリアン,,3.02,2,71,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市庄内幸町4-28-1 パレ豊中
あの餃子家,庄内駅 400m,餃子、居酒屋、からあげ,【庄内駅8分】ニンニク不使用の餃子や、店内仕込みの唐揚げやチャーシューなどの逸品もご堪能！,3.12,9,105,"￥2,000～￥2,999",～￥999,大阪府豊中市庄内幸町1-5-5
割烹 小ぶな,庄内駅 556m,海鮮,阪急庄内駅より徒歩7分❗️ てっちり専門店,3.07,13,345,"￥4,000～￥4,999",-,大阪府豊中市庄内幸町2-12-5
居酒屋つゆ子,庄内駅 370m,焼き鳥,,,6,,-,-,大阪府豊中市庄内幸町3-17-8
愛,庄内駅 642m,レストラン,,,4,,-,-,大阪府豊中市庄内幸町2-12-21
ジュン,庄内駅 863m,喫茶店,,,2,,-,-,大阪府豊中市庄内幸町5-20-2
翔吉,庄内駅 451m,居酒屋,,,1,1,-,"￥1,000～￥1,999",大阪府豊中市庄内幸町4-2-1
ごはんや ぐぅ,庄内駅 430m,洋食、食堂、カフェ,,3.17,30,625,"￥1,000～￥1,999",～￥999,大阪府豊中市庄内幸町2-15-13
とりかわ権兵衛 豊中店,庄内駅 634m,もつ鍋,,3.08,17,662,"￥3,000～￥3,999",-,大阪府豊中市庄内幸町3-7-25
想花南,庄内駅 684m,カフェ,,3.01,2,34,-,～￥999,大阪府豊中市庄内幸町1-8-1
まるひら,庄内駅 318m,豚料理,,3.03,8,154,-,-,大阪府豊中市庄内幸町3-1-3
ぶんぶん,庄内駅 832m,喫茶店,,,4,,-,-,大阪府豊中市庄内幸町5-16-14
ひでみ,庄内駅 672m,食堂、弁当,,3.01,2,19,-,～￥999,大阪府豊中市庄内幸町2-11-18
クレープモンキー 豊中庄内幸町店,庄内駅 732m,クレープ・ガレット,,,10,,-,-,大阪府豊中市庄内幸町4-23-10 イズスホワイトビル 1F
居酒屋岬,庄内駅 541m,居酒屋,,,4,,-,-,大阪府豊中市庄内幸町2-22-16
500円処 ナンバー1,庄内駅 467m,食堂、弁当,,3.4,102,10404,～￥999,～￥999,大阪府豊中市庄内幸町2-2-36
